id,motivation_other,barriers_other,repetoire,what_would_increase_attendance,txt_distinct_choirs,received_from_other
119099319180,NA,NA,Classical.,"
Right now am having a difficult time getting a response from the email address given for contacting the Winnipeg Choir, but without success after several tries, both there or by phone, where I have left my number and called during office hours. I am in need of having my tickets resent to me.",Sometimes sing together. ,NA
119099149822,NA,NA,"
Baroque and other classical","
Another night in the week! Time is usually a factor. Also I can't get to concerts on Tuesdays and Thursdays, as those are choir practice nights (although I can skip occasionally).",NA,NA
119098360866,NA,NA,Best and timeless choral sacred music ,Cancel intermission ,NA,NA
119098269523,NA,NA,"Baroque, oratorios, new choral music with positive themes, light jazz","Subscription packages, interesting venues, emails announcing concerts, and the repertoire. ",NA,NA
119097038620,NA,NA,Wide variety ,Afternoon rather than evening concerts ,NA,NA
119095530681,NA,NA,"Medieval, Classical, jazz","Changing to different transportation, which I’m currently considering. ",NA,NA
119095344465,NA,NA,"Classical, less heard, new compositions, etc.,etc.","Earlier time, nearby, affordable, easy parking
",NA,NA
119094869174,Friday date nights,NA,Enjoy all types of choral repertoire,Concerts scheduled on Friday evenings. Venues with parking close by. Comfortable seating and good views for audience. ,NA,NA
119094754067,NA,Schedule; lack of child friendly/engaging concerts ,NA,NA,NA,NA
119094465649,NA,NA,I like a little bit of everything.,I made myself more aware of upcoming concert schedules.,NA,NA
119094295807,local composers being featured,Work schedule,"1) New pieces, ideally by local composers. 
2) well written choral music (any period/style)
3) unless the concert is 1 work (e.g. a Requiem or some other unified work), it’s nice when there is some variety in energy/style at a concert.","1) Newly commissioned works!
2) a better work-life balance.","Dead of winter - sometimes the concert acts like a piece; very unique contemporary programming. 
Winnipeg Singers - more classical
Polycoro - contemporary stuff
Canzona - baroque and some new stuff
Proximus 5 - tenor-bass stuff

While the styles are somewhat distinct, we do see a lot of the same singers in each of the ensembles.",Word of mouth
119094197042,NA,NA,Variety of all sorts.,"While acoustics and general atmosphere of the venue are important, comfortable seating and easy parking/access are also significant factors.",NA,NA
119094022897,NA,sometimes we are not available,contemporary,"timing, if we can be available since we are snowbirds for now",NA,NA
119094022047,NA,NA,NA,NA,NA,NA
119094003389,NA,NA,NA,NA,NA,NA
119093991677,NA,NA,"Larger classical works...mostly dead composers or a program of smaller works of known composers either dead or alive, lol!","Fewer new, atonal/edgy selections.","Some differences in choir size certainly affect the repertoire selected while some groups lean towards distinct musical styles...baroque,  new music, a cappella, etc...",NA
119093639973,NA,NA,Eclectic tastes. Enjoy the variety of Dead of winters performances. ,"Not sure. Perhaps a one stop shop for learning about upcoming choral concerts both professional and nonprofessional 


",NA,NA
119093581750,NA,"Difficulty driving in the dark; mobility issues, so not being assured of nearby parking is problematic ",Pretty much anything,Youth!🙂,NA,NA
119093488778,NA,NA,"Baroque, or Modern (e.g., Eric Whitacre)",NA,NA,NA
119093466331,NA,NA,A variety of styles ,NA,NA,NA
119093457660,NA,"RE “Too many events…” Not necessarily choral events but busy life events, in general  ",Any and all,Feel like I’ve already said what motivates me to attend,I’ve only attended Dead of Winter and Winnipeg Singers concerts to hard to compare,NA
119093371547,Free or low priced event,NA,"Seasonal
Ethnic",Low price of ticket,Have not attended half of the one you list,NA
119093198882,NA,NA,"‘Early’ music
New works",Pay what you can,It is really special( and really expensive ) when instruments are brought in,NA
